Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/23/22
AKBNK TI,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190,239190
ARCLK TI,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270,21270
ASELS TI,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960,48960
BIMAS TI,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680,37680
EKGYO TI,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710
EREGL TI,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470,130470
GARAN TI,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060,174060
HALKB TI,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130,50130
ISCTR TI,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,116580,259061.4063,259061.4063,259061.4063,259061.4063,259061.4063,259061.4063,259061.4063
KCHOL TI,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420,87420
KOZAL TI,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810,3810
KRDMD TI,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120,72120
PETKM TI,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008,102667.008
SAHOL TI,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010,110010
TAVHL TI,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730,14730
TCELL TI,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900,93900
THYAO TI,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890,58890
TRY,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117,2117
TUPRS TI,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200
VAKBN TI,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930,84930
YKBNK TI,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88,122760.88
