Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/23/22
ZIRAAT PORTFOY BIST-30 EQUAL WEIGHTED ETF (Z30EA TI),,,,,,,,,,,,,,,,,,,,,,,,,
AKBNK TI,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350,435350
ARCLK TI,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413,90413
ASELS TI,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297,116297
BIMAS TI,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207,32207
DOHOL TI,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020,946020
EKGYO TI,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990,1295990
EREGL TI,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006,237006
GARAN TI,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788,315788
GUBRF TI,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797,69797
HALKB TI,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040,437040
ISCTR TI,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,419069,931245.5351,931245.5351,931245.5351,931245.5351,931245.5351,931245.5351,931245.5351
KCHOL TI,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832,152832
KOZAA TI,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380,177380
KOZAL TI,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784,28784
KRDMD TI,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377,661377
MGROS TI,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422,54422
OYAKC TI,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096,283096
PETKM TI,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592,640592
