Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/30/22
AKCNS TI,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125
ALBRK TI,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421,135421
ALCTL TI,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568,7568
ALKIM TI,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894,14894
ASELS TI,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670
BIMAS TI,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948
CCOLA TI,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587,4587
CEMTS TI,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882
ECILC TI,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403,29403
EGEEN TI,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
EKGYO TI,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987,118987
EREGL TI,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758,21758
GOODY TI,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115
GUBRF TI,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402,6402
HLGYO TI,86130,86130,86130,86130,86130,86130,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,90569.68282,92937.50944,92937.50944,92937.50944,92937.50944,92937.50944,92937.50944,92937.50944,92937.50944
INDES TI,11968,11968,11968,11968,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872,47872
ISGYO TI,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623,117623
KARTN TI,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989,5128.999989
KERVT TI,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419,34419
KRDMD TI,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720,60720
MAVI TI,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,10692,10692,10692,10692,10692,10692,10692,10692
NETAS TI,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604,10604
OYAKC TI,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982,25982
PGSUS TI,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455
PNSUT TI,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537,9537
SELEC TI,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991
TATGD TI,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897,17897
THYAO TI,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602
TKFEN TI,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882,13882
YATAS TI,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122
