Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/30/22
ASELS TI,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049,59049
BIMAS TI,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291,36291
EKGYO TI,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048,193048
EREGL TI,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349,167349
PETKM TI,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6,111080.6
SISE TI,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513,149513
TCELL TI,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315,118315
THYAO TI,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731,68731
TKFEN TI,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691
TUPRS TI,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223,12223
