Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/23/22
ZIRAAT PORTFOY BIST 30 INDEX FUND (ZPX30 TI),,,,,,,,,,,,,,,,,,,,,,,,,
AKBNK TI,7878,7900,7865,7907,7925,7925,7635,7659,7659,7659,7656,7656,7540,7540,7540,7661,7696,8050,8061,8081,8032,8022,8020,7898,7879
AKSEN TI,,,,,,,,,,,,,,,,,,,,,,764,764,752,750
ARCLK TI,492,494,491,494,495,495,477,479,479,479,478,478,471,471,472,479,481,503,504,505,306,301,301,296,295
ASELS TI,1727,1732,1724,1733,1737,1737,1674,1679,1679,1679,1678,1679,1653,1653,1653,1680,1687,1765,1767,1772,1792,1759,1758,1731,1727
BIMAS TI,1061,1064,1059,1065,1068,1068,1029,1032,1032,1032,1032,1031,1017,1017,1017,1032,1037,1085,1086,1089,1102,1081,1081,1064,1062
DOHOL TI,2669,2676,2664,2678,2684,2684,2586,2594,2594,2594,2593,2593,2554,2554,2554,,,,,,,,,,
EKGYO TI,5646,5662,5637,5667,5680,5680,5472,5490,5490,5490,5487,5487,5404,5404,5404,5491,5515,5770,5778,5792,5859,5750,5748,5661,5647
EREGL TI,4895,4908,4886,4913,4924,4924,4744,4759,4759,4759,4757,4756,4685,4685,4685,4768,4781,5002,5009,5021,5080,4984,4983,4906,4895
FROTO TI,,,,,,,178,179,179,179,179,179,176,176,176,179,180,188,188,189,191,187,187,184,184
GARAN TI,5874,5890,5862,5895,5909,5909,5693,5710,5711,5711,5708,5708,5622,5622,5622,5712,5738,1751,1753,1757,1778,1744,1744,1717,1713
GUBRF TI,214,215,213,215,215,215,207,208,208,208,208,208,205,205,205,208,209,219,219,220,222,218,218,215,214
HALKB TI,1658,1662,1654,1664,1668,1668,1607,1612,1612,1612,1611,1611,1587,1587,1587,1549,1556,1627,1630,1634,1651,,,,
HEKTS TI,,,,,,,,,,,,,,,,995,1003,1050,1051,1054,1066,1045.871015,3073,3027,3019
ISCTR TI,4064,4076,4058,4079,4089,4089,3939,3951,3951,3951,3950,3950,3890,3890,3890,3952,3970,4153,9242,9264,9373,9197,9194,9055,9033
KCHOL TI,1625,1630,1623,1631,1635,1635,1575,1580,1580,1580,1580,1580,1556,1556,1556,1581,1588,1661,1663,1667,1687,1655,1655,1630,1626
KOZAA TI,497,499,497,499,501,500,482,484,484,484,483,484,476,476,476,484,486,508,509,510,516,507,506,499,498
KOZAL TI,129,129,129,129,130,130,125,125,125,125,125,125,123,123,123,125,126,132,132,132,134,131,131,129,129
KRDMD TI,2023,2029,2015,2030,2035,2035,1961,1967,1967,1967,1966,1966,1936,1936,1936,1967,1976,2067,2070,2075,2099,2060,2060,2028,2023
MGROS TI,190,190,268,13,,,,,,,,,,,,,,,,,,,,,
OYAKC TI,912,915,910,916,918,918,,,,,,,,,,,,,,,,,,,
PETKM TI,3249,3258,3243,2747,2748,2748,2648,2656,2656,2656,2655,2655,2615,2615,2615,2657,2669,3560,3551,3560,3598,3534,3533,3479,3471
PGSUS TI,107,108,107,108,108,108,104,104,104,104,104,104,103,103,103,104,105,110,110,110,111,109,109,129,129
SAHOL TI,2910,2921,2908,2924,2930,2930,2823,2832,2832,2832,2831,2831,2788,2788,2788,2833,2845,2977,2981,2988,3023,2966,2965,2920,2913
SASA TI,,,,389,591,591,569,571,571,571,571,571,562,562,562,571,574,1201,1202,1205,1219,1196,1196,1383,1450
SISE TI,4373,4385,4365,4389,4399,4399,4238,4252,4252,4252,4250,4250,4186,4186,4186,4253,4272,4469,4475,4486,4538,4453,4452,4384,4374
TAVHL TI,423,425,423,425,511,511,492,494,494,494,494,494,486,486,486,494,496,519,520,521,527,517,517,509,508
TCELL TI,3461,3471,3454,3474,3482,3482,3355,3365,3365,3365,3364,3363,3313,3313,3313,3366,3381,3537,3542,3550,3592,3525,3523,3470,3462
THYAO TI,2010,2016,2004,2018,2022,2022,1948,1954,1955,1955,1954,1953,1924,1924,1924,1955,1964,2054,2057,2062,2086,2047,2046,2015,2010
TKFEN TI,517,519,516,519,521,521,501,503,503,503,503,503,495,495,495,503,505,529,529,531,537,527,527,519,517
TOASO TI,,,,,,,,,,,,,334,334,334,340,342,357,358,359,363,356,356,350,350
TSKB TI,3182,3190,3176,3193,3201,3201,,,,,,,,,,,,,,,,,,,
TTKOM TI,1326,1329,1323,1331,1334,1334,1285,1289,1289,1289,1288,1288,1269,1269,1269,1289,1295,1355,1357,1360,1375,1350,1350,1329,1326
TUPRS TI,357,358,357,359,360,360,347,348,348,348,347,348,342,342,342,348,349,365,366,367,371,400,400,394,393
VAKBN TI,1821,1826,1818,1827,1832,1832,1765,1770,1770,1770,1769,1770,,,,,,,,,,,,,
VESTL TI,,,,,,,294,295,294,294,342,342,337,337,337,342,344,360,360,361,365,358,358,353,352
YKBNK TI,7383,7403,7367,7410,7427,7427,7156,7178,7178,7178,7175,7175,7067,7067,7067,7180,7212,7545,7555,7573,7662,7518,7516,7402,7384
