Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/23/22
ARCLK TI,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580
ASELS TI,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020,107020
BIMAS TI,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626,62626
EKGYO TI,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976,1195976
EREGL TI,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899,399899
KCHOL TI,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801,170801
KOZAA TI,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711,150711
KOZAL TI,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003,33003
KRDMD TI,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611,620611
MGROS TI,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871,63871
OYAKC TI,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716,381716
PETKM TI,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2,701945.2
SAHOL TI,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795,366795
SISE TI,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13,327044.13
TAVHL TI,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773,146773
TCELL TI,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660,242660
THYAO TI,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247,206247
TKFEN TI,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901,164901
TRY,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041,159041
TTKOM TI,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113,290113
TUPRS TI,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782,34782
