Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/23/22
AKBNK TI,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674,647674
ASELS TI,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991,141991
BIMAS TI,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689,74689
EKGYO TI,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198,464198
EREGL TI,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402,402402
GARAN TI,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882,482882
HALKB TI,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283,136283
ISCTR TI,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,334135,742507.1453,742507.1453,742507.1453,742507.1453,742507.1453,742507.1453,742507.1453
PETKM TI,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8,267102.8
SAHOL TI,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040,215040
SISE TI,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733,359521.733
TCELL TI,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554,284554
TKFEN TI,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540,42540
TUPRS TI,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391,29391
VAKBN TI,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679,149679
